Structure IDs,Structure Codes,IDAliases,CodeAliases,DVH Objective,Evaluation Point,Variation,Priority,Met,Achieved
Bladder Wall,15900,Bladder,,D15cc[cGy],<=1200,1260,1,,
Bladder Wall,15900,Bladder,,Max[cGy],<=2500,2625,1,,
Bowel_Lg,14543|7201,Colon|Large Bowel,,D20cc[cGy],<=1800,1890,1,,
Bowel_Lg,14543|7201,Colon|Large Bowel,,Max[cGy],<=2500,2625,1,,
Bowel_Sm,7200,Small Bowel,,D30cc[cGy],<=1250,1313,1,,
Bowel_Sm,7200,Small Bowel,,Max[cGy],<=2200,2310,1,,
Brachial Plexus,5906|45244|45245,,,Max[cGy],<=1640,1722,1,,
Brachial Plexus,5906|45244|45245,,,D3cc[cGy],<=1360,1428,1,,
Brain,50801,,,D10cc[cGy],<=1200,1260,1,,
Brainstem,79876,,,D0.5cc[cGy],<=1000,1050,1,,
Brainstem,79876,,,Max[cGy],<=1500,1575,1,,
Bronchus_Lg,7405|7395|7396,Large Bronchus,,D4cc[cGy],<=1740,1827,1,,
Bronchus_Lg,7405|7395|7396,Large Bronchus,,Max[cGy],<=2020,2121,1,,
Bronchus_Sm,,Small Bronchus,,D0.5cc[cGy],<=1240,1302,1,,
Bronchus_Sm,,Small Bronchus,,Max[cGy],<=1330,1397,1,,
Cauda Equina,52590,Cauda,,Max[cGy],<=1600,1680,1,,
Cauda Equina,52590,Cauda,,D5cc[cGy],<=1400,1470,1,,
Cochlea_L,60203,Left Cochlea,,Max[cGy],<=900,945,1,,
Cochlea_R,60202,Right Cochlea,,Max[cGy],<=900,945,1,,
Colon,14543,,,D20cc[cGy],<=1800,1890,1,,
Colon,14543,,,Max[cGy],<=2500,2625,1,,
Duodenum,7206,,,D20cc[cGy],<=1800,1890,1,,
Duodenum,7206,,,D10cc[cGy],<=900,945,1,,
Duodenum,7206,,,Max[cGy],<=1700,1785,1,,
Esophagus,7131,,,Max[cGy],<=1540,1617,1,,
Esophagus,7131,,,D5cc[cGy],<=1190,1250,1,,
FemHeadNeck_L,32843|24475 ,,,D10cc[cGy],<=1500,1575,1,,
FemHeadNeck_R,32842|24474,,,D10cc[cGy],<=1500,1575,1,,
Great Vessels,GreatVessels,,,D10cc[cGy],<=3100,3255,1,,
Great Vessels,GreatVessels,,,Max[cGy],<=3700,3885,1,,
Heart,7088,,,Max[cGy],<=2200,2310,1,,
Heart,7088,,,D15cc[cGy],<=1600,1680,1,,
Kidney_L,7205,,,CV950cGy[cc],>=100,105,1,,
Kidney_R,7204,,,CV950cGy[cc],>=100,105,1,,
Kidneys Combined,264815,,,CV950cGy[cc],>=200,210,1,,
Liver,7197,Liver-PTV,,CV1100cGy[cc],>=700,735,1,,
Lungs Combined,68877,Lungs|Lungs-PTV|Total Lung,,CV700cGy[cc],>=1500,1575,1,,
Lungs Combined,68877,Lungs|Lungs-PTV|Total Lung,,CV760cGy[cc],>=1000,1050,1,,
Lungs Combined,68877,Lungs|Lungs-PTV|Total Lung,,D37%[cGy],<=800,840,1,,
Optic Pathway,50878|50875|62045,,,D0.2cc[cGy],<=800,840,1,,
Optic Pathway,50878|50875|62045,,,Max[cGy],<=1000,1050,1,,
Penile Bulb,19614,,,D3cc[cGy],<=1600,1680,1,,
Rectum,14544,,,D20cc[cGy],<=2200,2310,1,,
Rectum,14544,,,Max[cGy],<=3000,3150,1,,
Rib,71331|7574|5018,,,D5cc[cGy],<=2800,2940,1,,
Rib,71331|7574|5018,,,Max[cGy],<=3300,3465,1,,
Sacral Plexus,5909,,,Max[cGy],<=1600,1680,1,,
Sacral Plexus,5909,,,D5cc[cGy],<=1440,1512,1,,
Skin,7163,,,Max[cGy],<=2750,2888,1,,
Skin,7163,,,D10cc[cGy],<=2550,2678,1,,
Spinal Cord,7647|9680,,,D0.35cc[cGy],<=1000,1050,1,,
Spinal Cord,7647|9680,,,D1.2cc[cGy],<=700,735,1,,
Spinal Cord,7647|9680,,,Max[cGy],<=1400,1470,1,,
Stomach,7148,,,Max[cGy],<=2200,2310,1,,
Stomach,7148,,,D5cc[cGy],<=1740,1827,1,,
Trachea,7394,,,D4cc[cGy],<=1740,1827,1,,
Trachea,7394,,,Max[cGy],<=2020,2121,1,,
