Structure IDs,Structure Codes,IDAliases,CodeAliases,DVH Objective,Evaluation Point,Variation,Priority,Met,Achieved
Bladder Wall,15900,Bladder,,D15cc[cGy],<=2000,2100,1,,
Bladder Wall,15900,Bladder,,Max[cGy],<=3800,3990,1,,
Bowel_Lg,14543|7201,Colon|Large Bowel,,D20cc[cGy],<=2850,2993,1,,
Bowel_Lg,14543|7201,Colon|Large Bowel,,Max[cGy],<=3500,3675,1,,
Bowel_Sm,7200,Small Bowel,,D30cc[cGy],<=2000,2100,1,,
Bowel_Sm,7200,Small Bowel,,Max[cGy],<=3200,3296,1,,
Brachial Plexus,5906|45244|45245,,,Max[cGy],<=3250,3413,1,,
Brachial Plexus,5906|45244|45245,,,D3cc[cGy],<=2700,2835,1,,
Brain,50801,,,D23cc[cGy],<=1800,1890,1,,
Brainstem,79876,,,D0.5cc[cGy],<=2300,2415,1,,
Brainstem,79876,,,Max[cGy],<=3100,3255,1,,
Bronchus_Lg,7405|7395|7396,Large Bronchus,,D5cc[cGy],<=2100,2205,1,,
Bronchus_Lg,7405|7395|7396,Large Bronchus,,Max[cGy],<=3300,3465,1,,
Bronchus_Sm,,,,D0.5cc[cGy],<=2100,2205,1,,
Bronchus_Sm,,,,Max[cGy],<=3300,3465,1,,
Cauda Equina,52590,Cauda,,Max[cGy],<=3150,3308,1,,
Cauda Equina,52590,Cauda,,D5cc[cGy],<=3000,3150,1,,
Cochlea_L,60203,Left Cochlea,,Max[cGy],<=2200,2310,1,,
Cochlea_R,60202,Right Cochlea,,Max[cGy],<=2200,2310,1,,
Duodenum,7206,,,D5cc[cGy],<=1850,1943,1,,
Duodenum,7206,,,D10cc[cGy],<=1450,1523,1,,
Duodenum,7206,,,Max[cGy],<=2600,2730,1,,
Esophagus,7131,,,Max[cGy],<=3500,3675,1,,
Esophagus,7131,,,D5cc[cGy],<=1950,2047,1,,
FemHeadNeck_L,32843|24475 ,,,D10cc[cGy],<=3000,3150,1,,
FemHeadNeck_R,32842|24474,,,D10cc[cGy],<=3000,3150,1,,
Great Vessels,GreatVessels,,,D10cc[cGy],<=4700,4935,1,,
Great Vessels,GreatVessels,,,Max[cGy],<=5300,5565,1,,
Heart,7088,,,Max[cGy],<=3800,3990,1,,
Heart,7088,,,D15cc[cGy],<=3200,3360,1,,
Kidney_L,7205,,,CV1800cGy[cc],>=100,105,1,,
Kidney_R,7204,,,CV1800cGy[cc],>=100,105,1,,
Kidneys Combined,264815,,,CV1800cGy[cc],>=200,210,1,,
Liver,7197,Liver-PTV,,CV2100cGy[cc],>=700,735,1,,
Lungs Combined,68877,Lungs|Lungs-PTV|Total Lung,,CV1250cGy[cc],>=1500,1575,1,,
Lungs Combined,68877,Lungs|Lungs-PTV|Total Lung,,CV1350cGy[cc],>=1000,1050,1,,
Lungs Combined,68877,Lungs|Lungs-PTV|Total Lung,,D37%[cGy],<=1350,1418,1,,
Optic Pathway,50878|50875|62045,,,D0.2cc[cGy],<=2300,2415,1,,
Optic Pathway,50878|50875|62045,,,Max[cGy],<=2500,2625,1,,
Penile Bulb,19614,,,D3cc[cGy],<=3000,3150,1,,
Rectum,14544,,,D20cc[cGy],<=3250,3413,1,,
Rectum,14544,,,Max[cGy],<=4000,4200,1,,
Rib,71331|7574|5018,,,D5cc[cGy],<=4500,4725,1,,
Rib,71331|7574|5018,,,Max[cGy],<=5750,6038,1,,
Sacral Plexus,5909,,,Max[cGy],<=3150,3308,1,,
Sacral Plexus,5909,,,D5cc[cGy],<=3000,3150,1,,
Skin,7163,,,Max[cGy],<=3850,4043,1,,
Skin,7163,,,D10cc[cGy],<=3650,3832,1,,
Spinal Cord,7647|9680,,,D0.35cc[cGy],<=2200,2310,1,,
Spinal Cord,7647|9680,,,D1.2cc[cGy],<=1450,1522,1,,
Spinal Cord,7647|9680,,,Max[cGy],<=2800,2940,1,,
Stomach,7148,,,Max[cGy],<=3500,3675,1,,
Stomach,7148,,,D5cc[cGy],<=2650,2783,1,,
