Structure IDs,Structure Codes,IDAliases,CodeAliases,DVH Objective,Evaluation Point,Variation,Priority,Met,Achieved
Target,PTV_High|PTV_Intermediate|PTV_Low|CTV_High|CTV_Intermediate|CTV_Low,PTV|CTV,,V95%[%],>=95,90,1,,
Target,PTV_High|PTV_Intermediate|PTV_Low|CTV_High|CTV_Intermediate|CTV_Low,PTV|CTV,,CN95%[%],<=1.2,1.5,1,,
Body,BODY,Body,,GI50%[%],<=5,6,1,,
Bladder,15900,,,D50%[cGy],<=6500,6825,1,,
Bladder,15900,,,D35%[cGy],<=7000,7350,1,,
Bladder,15900,,,D25%[cGy],<=7500,7875,1,,
Bladder,15900,,,D15%[cGy],<=8000,8400,1,,
Bowel_Lg,7201,BOWEL LARGE|LARGE BOWEL,,Max[cGy],<=7000,7350,1,,
Bowel_Lg,7201,BOWEL LARGE|LARGE BOWEL,,D20cc[cGy],<=5400,5670,1,,
Bowel_Sm,7200|7199,BOWEL SMALL|SMALL BOWEL,,Max[cGy],<=5400,5670,1,,
Bowel_Sm,7200|7199,BOWEL SMALL|SMALL BOWEL,,D30%[cGy],<=4000,4200,1,,
Bowel_Sm,7200|7199,BOWEL SMALL|SMALL BOWEL,,D120cc[cGy],<=4500,7425,1,,
Brain,50801,,,Max[cGy],<=6000,6300,1,,
Brainstem,79876,,,D2cc[cGy],<=5000,5250,1,,
Brainstem,79876,,,Max[cGy],<=6000,6300,1,,
Cauda Equina,52590,,,Max[cGy],<=6000,6300,1,,
Cauda Equina,52590,,,D5cc[cGy],<=5000,5250,1,,
Cochlea_L,60203,Cochlea L,,D0.5cc[cGy],<=3600,3780,1,,
Cochlea_L,60203,Cochlea L,,Max[cGy],<=4000,4200,1,,
Cochlea_R,60202,Cochlea R,,D0.5cc[cGy],<=3600,3780,1,,
Cochlea_R,60202,Cochlea R,,Max[cGy],<=4000,4200,1,,
Colon,14543,,,D20cc[cGy],<=5400,5670,1,,
Colon,14543,,,Max[cGy],<=7000,7350,1,,
Esophagus,7131,,,Max[cGy],<=6000,6300,1,,
Esophagus,7131,,,D5cc[cGy],<=5500,5775,1,,
Eye_L,12515,Retina_L,,Mean[cGy],<=3800,3990,1,,
Eye_L,12515,Retina_L,,Max[cGy],<=4500,4725,1,,
Eye_R,12514,Retina_R,,Mean[cGy],<=3800,3990,1,,
Eye_R,12514,Retina_R,,Max[cGy],<=4500,4725,1,,
FemHeadNeck_L,32843|24475 ,,,D10cc[cGy],<=4800,5040,1,,
FemHeadNeck_L,32843|24475 ,,,Max[cGy],<=5600,5880,1,,
FemHeadNeck_R,32842|24474,,,D10cc[cGy],<=4800,5040,1,,
FemHeadNeck_R,32842|24474,,,Max[cGy],<=5600,5880,1,,
Heart,7088,,,Max[cGy],<=6000,6300,1,,
Heart,7088,,,D15cc[cGy],<=6000,6300,1,,
Kidney_L,7205,Kidney L|L_Kidney|L Kidney,,D100%[cGy],<=2300,2415,1,,
Kidney_L,7205,Kidney L|L_Kidney|L Kidney,,D67%[cGy],<=3000,3150,1,,
Kidney_L,7205,Kidney L|L_Kidney|L Kidney,,D33%[cGy],<=5000,5250,1,,
Kidney_L,7205,Kidney L|L_Kidney|L Kidney,,CV2200cGy[cc],>=100,95,1,,
Kidney_R,7204,Kidney R|R_Kidney|R Kidney,,D100%[cGy],<=2300,2415,1,,
Kidney_R,7204,Kidney R|R_Kidney|R Kidney,,D67%[cGy],<=3000,3150,1,,
Kidney_R,7204,Kidney R|R_Kidney|R Kidney,,D33%[cGy],<=5000,5250,1,,
Kidney_R,7204,Kidney R|R_Kidney|R Kidney,,CV2200cGy[cc],>=100,95,1,,
Kidneys,264815,Kidney R+L|Kidney_RL|Kidney_LR,,CV2200cGy[cc],>=200,190,1,,
Lacrimal Gland_L,59103,Lacrimal Gland L,,D1cc[cGy],<=2000,2100,1,,
Lacrimal Gland_L,59103,Lacrimal Gland L,,Max[cGy],<=3600,3780,1,,
Lacrimal Gland_R,59102,Lacrimal Gland R,,D1cc[cGy],<=2000,2100,1,,
Lacrimal Gland_R,59102,Lacrimal Gland R,,Max[cGy],<=3600,3780,1,,
Larynx,55097,,,D3cc[cGy],<=4000,4200,1,,
Larynx,55097,,,Max[cGy],<=4600,4830,1,,
Lens_L,58243,Lens L|Lens LT,,Max[cGy],<=1000,1050,1,,
Lens_R,58242,Lens R|Lens RT,,Max[cGy],<=1000,1050,1,,
Liver,7197,Liver-PTV,,Mean[cGy],<=3000,3150,1,,
Liver,7197,Liver-PTV,,D100%[cGy],<=3000,3150,1,,
Liver,7197,Liver-PTV,,D50%[cGy],<=3500,3675,1,,
Liver,7197,Liver-PTV,,CV3000cGy[cc],>=700,665,1,,
Lung_L,7310,Lung LT,,Mean[cGy],<=2000,2100,1,,
Lung_L,7310,Lung LT,,D35%[cGy],<=2000,2100,1,,
Lung_R,7309,Lung RT,,Mean[cGy],<=2000,2100,1,,
Lung_R,7309,Lung RT,,D35%[cGy],<=2000,2100,1,,
Lungs,68877,Lungs|Lungs-PTV|Total Lung,,D60%[cGy],<=500,525,1,,
Lungs,68877,Lungs|Lungs-PTV|Total Lung,,D50%[cGy],<=1000,1050,1,,
Lungs,68877,Lungs|Lungs-PTV|Total Lung,,D37%[cGy],<=2000,2100,1,,
Lungs,68877,Lungs|Lungs-PTV|Total Lung,,CV1400cGy[cc],>=1500,1425,1,,
Lungs,68877,Lungs|Lungs-PTV|Total Lung,,CV1500cGy[cc],>=1000,950,1,,
Mandible,52748,,,Max[cGy],<=7000,7350,1,,
Optic Pathway,62045,OPTIC CHIASM,,D0.5cc[cGy],<=4400,4620,1,,
Optic Pathway,62045,OPTIC CHIASM,,Max[cGy],<=5200,5460,1,,
Optic Nerve_L,50878,OPTIC NERVE_L|OPTIC NERVE_LT,,D0.5cc[cGy],<=4400,4620,1,,
Optic Nerve_L,50878,OPTIC NERVE_L|OPTIC NERVE_LT,,Max[cGy],<=5200,5460,1,,
Optic Nerve_R,50875,OPTIC NERVE_R|OPTIC NERVE_RT,,D0.5cc[cGy],<=4400,4620,1,,
Optic Nerve_R,50875,OPTIC NERVE_R|OPTIC NERVE_RT,,Max[cGy],<=5200,5460,1,,
Parotid_L,59798,Parotid L,,Mean[cGy],<=2600,2730,1,,
Parotid_L,59798,Parotid L,,Max[cGy],<=3200,3360,1,,
Parotid_L,59798,Parotid L,,D7cc[cGy],<=2000,2100,1,,
Parotid_R,59797,Parotid R,,Mean[cGy],<=2600,2730,1,,
Parotid_R,59797,Parotid R,,Max[cGy],<=3200,3360,1,,
Parotid_R,59797,Parotid R,,D7cc[cGy],<=2000,2100,1,,
Penile Bulb,19614,,,D3cc[cGy],<=4800,5040,1,,
Penile Bulb,19614,,,Max[cGy],<=5600,5880,1,,
Rectum,14544,,,D50%[cGy],<=6000,6300,1,,
Rectum,14544,,,D35%[cGy],<=6500,6825,1,,
Rectum,14544,,,D25%[cGy],<=7000,7350,1,,
Rectum,14544,,,D15%[cGy],<=7500,7875,1,,
Sacral Plexus,5909,,,Max[cGy],<=6000,6300,1,,
Sacral Plexus,5909,,,D5cc[cGy],<=5000,5250,1,,
Skin,7163,,,Max[cGy],<=7600,7980,1,,
Skin,7163,,,D10cc[cGy],<=7000,7350,1,,
Spinal Cord,7647|9680,Spinal Canal|Cord,,D5cc[cGy],<=4400,4620,1,,
Spinal Cord,7647|9680,Spinal Canal|Cord,,Max[cGy],<=5000,5250,1,,
Stomach,7148,,,Max[cGy],<=6000,6300,1,,
Stomach,7148,,,D50cc[cGy],<=4500,4725,1,,
