Structure IDs,Structure Codes,IDAliases,CodeAliases,DVH Objective,Evaluation Point,Variation,Priority,Met,Achieved
Target,PTV_High|PTV_Intermediate|PTV_Low,,,V95%[%],>=95,90,1,,
Target,PTV_High|PTV_Intermediate|PTV_Low,,,CN95%[%],<=1.2,1.5,1,,
Body,BODY,,,GI50%[%],<=5,6,1,,
Bladder Wall,15900,Bladder,,D15cc[cGy],<=1850,1943,1,,
Bladder Wall,15900,Bladder,,Max[cGy],<=3560,3738,1,,
Bowel_Lg,14543|7201,Colon|Large Bowel|Bowel Large,,D20cc[cGy],<=2600,2730,1,,
Bowel_Lg,14543|7201,Colon|Large Bowel|Bowel Large,,Max[cGy],<=3200,3360,1,,
Bowel_Sm,7200,Small Bowel|Bowel Small,,D30cc[cGy],<=1880,1974,1,,
Bowel_Sm,7200,Small Bowel|Bowel Small,,Max[cGy],<=3000,3150,1,,
Brachial Plexus,5906|45244|45245,,,Max[cGy],<=2960,3108,1,,
Brachial Plexus,5906|45244|45245,,,D3cc[cGy],<=2480,2604,1,,
Brain,50801,,,D23cc[cGy],<=1800,1890,1,,
Brainstem,79876,,,D0.5cc[cGy],<=2080,2184,1,,
Brainstem,79876,,,Max[cGy],<=2720,2856,1,,
Bronchus_Lg,7405|7395|7396,Large Bronchus,,D5cc[cGy],<=2880,3024,1,,
Bronchus_Lg,7405|7395|7396,Large Bronchus,,Max[cGy],<=3480,3654,1,,
Bronchus_Sm,,Small Bronchus,,D0.5cc[cGy],<=2000,2100,1,,
Bronchus_Sm,,Small Bronchus,,Max[cGy],<=2800,2940,1,,
Cauda Equina,52590,Cauda,,Max[cGy],<=2880,3024,1,,
Cauda Equina,52590,Cauda,,D5cc[cGy],<=2600,2730,1,,
Cochlea_L,60203,Left Cochlea,,Max[cGy],<=1800,1890,1,,
Cochlea_R,60202,Right Cochlea,,Max[cGy],<=1800,1890,1,,
Duodenum,7206,,,D5cc[cGy],<=1720,1806,1,,
Duodenum,7206,,,D10cc[cGy],<=1400,1470,1,,
Duodenum,7206,,,Max[cGy],<=2440,2562,1,,
Esophagus,7131,,,Max[cGy],<=3000,3150,1,,
Esophagus,7131,,,D5cc[cGy],<=1880,1974,1,,
FemHeadNeck_L,32843|24475 ,,,D10cc[cGy],<=2700,2835,1,,
FemHeadNeck_R,32842|24474,,,D10cc[cGy],<=2700,2835,1,,
Great Vessels,GreatVessels,,,D10cc[cGy],<=4300,4515,1,,
Great Vessels,GreatVessels,,,Max[cGy],<=4900,5145,1,,
Heart,7088,,,Max[cGy],<=3400,3570,1,,
Heart,7088,,,D15cc[cGy],<=2800,2940,1,,
Kidney_L,7205,Kidney L|L_Kidney|L Kidney,,CV1700cGy[cc],>=100,105,1,,
Kidney_R,7204,Kidney R|R_Kidney|R Kidney,,CV1700cGy[cc],>=100,105,1,,
Kidneys,264815,,,CV1700cGy[cc],>=200,210,1,,
Liver,7197,Liver-PTV,,CV1920cGy[cc],>=700,735,1,,
Lungs,68877,Lungs|Lungs-PTV|Total Lung|Lungs-PTVs,,CV1160cGy[cc],>=1500,1425,1,,
Lungs,68877,Lungs|Lungs-PTV|Total Lung|Lungs-PTVs,,CV1240cGy[cc],>=1000,950,1,,
Lungs,68877,Lungs|Lungs-PTV|Total Lung|Lungs-PTVs,,D37%[cGy],<=1300,1365,1,,
Optic Pathway,62045,OPTIC CHIASM,,D0.2cc[cGy],<=1920,2016,1,,
Optic Pathway,62045,OPTIC CHIASM,,Max[cGy],<=2120,2226,1,,
Optic Nerve_L,50878,OPTIC NERVE_L|OPTIC NERVE_LT,,D0.2cc[cGy],<=1920,2016,1,,
Optic Nerve_L,50878,OPTIC NERVE_L|OPTIC NERVE_LT,,Max[cGy],<=2120,2226,1,,
Optic Nerve_R,50875,OPTIC NERVE_R|OPTIC NERVE_RT,,D0.2cc[cGy],<=1920,2016,1,,
Optic Nerve_R,50875,OPTIC NERVE_R|OPTIC NERVE_RT,,Max[cGy],<=2120,2226,1,,
Penile Bulb,19614,,,D3cc[cGy],<=2700,2835,1,,
Rectum,14544,,,D20cc[cGy],<=3000,3150,1,,
Rectum,14544,,,Max[cGy],<=3750,3938,1,,
Rib,71331|7574|5018,,,D5cc[cGy],<=4300,4515,1,,
Rib,71331|7574|5018,,,Max[cGy],<=5400,5670,1,,
Sacral Plexus,5909,,,Max[cGy],<=2800,2940,1,,
Sacral Plexus,5909,,,D5cc[cGy],<=2600,2730,1,,
Skin,7163,,,Max[cGy],<=3600,3780,1,,
Skin,7163,,,D10cc[cGy],<=3360,3528,1,,
Spinal Cord,7647|9680,Spinal Canal|Cord,,D0.35cc[cGy],<=1800,1890,1,,
Spinal Cord,7647|9680,Spinal Canal|Cord,,D1.2cc[cGy],<=1360,1428,1,,
Spinal Cord,7647|9680,Spinal Canal|Cord,,Max[cGy],<=2560,2688,1,,
Stomach,7148,,,Max[cGy],<=3320,3486,1,,
Stomach,7148,,,D5cc[cGy],<=2500,2625,1,,
Trachea,7394,,,D5cc[cGy],<=2880,3024,1,,
Trachea,7394,,,Max[cGy],<=3480,3654,1,,
